Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Status,Start date,End date
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Event Details,April 2 9am-3pm,Hilton Garden Inn Fort Worth,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/499299&employer=ctdi&metro=dallas&role=warehouse-operative&utm_campaign=us-ctdi-hiring-event-haslet-tx,Enabled,2026-03-30,2026-04-02
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Download the App,Get the Indeed Flex app,Register for the event instantly,https://indeedflex.com/download,Enabled,2026-03-30,2026-04-02
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,See All Shifts,1st 2nd 3rd shift options,$15.50-$16.50/hr pay range,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/499299&employer=ctdi&metro=dallas&role=warehouse-operative&utm_campaign=us-ctdi-hiring-event-haslet-tx,Enabled,2026-03-30,2026-04-02
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Browse All Jobs,See all available jobs near you,Warehouse logistics and more,https://indeedflex.com/find-jobs,Enabled,2026-03-30,2026-04-02
