Campaign,Day of week,Start hour,Start minute,End hour,End minute,Bid adjustment
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Monday,06,00,23,00,0%
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Tuesday,06,00,23,00,+10%
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Wednesday,06,00,23,00,+20%
US - B2C - Industrial - CTDI - Warehouse Operative - Hiring Event - Haslet - TX - Mar 30 to Apr 2 2026,Thursday,05,00,15,00,+30%
