Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Status,Start date,End date
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,Event Details,Apr 20-21 9am-2pm,Courtyard by Marriott Orlando Airport,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Enabled,2026-04-14,2026-04-21
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,Download the App,Get the Indeed Flex app,Register for the event instantly,https://indeedflex.com/download,Enabled,2026-04-14,2026-04-21
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,See Loader/Crew Shifts,$16.50/hr roles available,Start working this week,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Enabled,2026-04-14,2026-04-21
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,Browse All Jobs,See all available jobs near you,Orlando FL and surrounding areas,https://indeedflex.com/find-jobs,Enabled,2026-04-14,2026-04-21
